DATE,CPILFESL,CPIAUCSL,CUSR0000SETA02,EMVOVERALLEMV,BOPTIMP,INDPRO
01-01-2012,227.877,227.842,151.106,21.87844,232551,96.7772
01-02-2012,228.034,228.329,149.893,18.29328,227865,97.051
01-03-2012,228.478,228.807,149.265,16.09793,238260,96.5714
01-04-2012,228.905,229.187,150.053,15.3554,233934,97.3139
01-05-2012,229.224,228.713,151.587,22.26058,232481,97.4669
01-06-2012,229.623,228.524,152.263,22.65574,230188,97.4577
01-07-2012,229.97,228.59,151.97,19.92154,229120,97.6786
01-08-2012,230.233,229.918,150.871,16.61462,229029,97.2842
01-09-2012,230.659,231.015,149.647,16.11155,229976,97.2295
01-10-2012,231.024,231.638,148.986,17.12059,227600,97.5344
01-11-2012,231.33,231.249,148.932,15.50737,233794,97.9837
01-12-2012,231.725,231.221,149.243,16.36797,228560,98.2122
01-01-2013,232.229,231.679,149.741,17.5705,230418,98.1664
01-02-2013,232.569,232.937,149.789,18.75028,233440,98.6458
01-03-2013,232.794,232.282,148.912,17.91352,224170,99.0597
01-04-2013,232.832,231.797,148.577,15.79309,229090,98.9927
01-05-2013,232.996,231.893,148.501,15.00913,231538,99.0726
01-06-2013,233.35,232.445,148.742,16.88806,227347,99.2065
01-07-2013,233.88,232.9,149.058,15.04382,228481,98.9204
01-08-2013,234.336,233.456,149.539,13.40493,229065,99.4996
01-09-2013,234.7,233.544,150.458,19.14769,232422,100.0568
01-10-2013,234.921,233.669,151.248,19.51058,232757,99.9168
01-11-2013,235.359,234.1,151.993,15.26405,231275,100.1762
01-12-2013,235.759,234.719,152.457,15.08701,229979,100.3658
01-01-2014,235.961,235.288,151.535,15.25769,233222,100.038
01-02-2014,236.185,235.547,150.718,11.61769,235178,100.7918
01-03-2014,236.625,236.028,149.641,15.18678,242498,101.7782
01-04-2014,237.072,236.468,149.217,18.05928,242790,101.8337
01-05-2014,237.529,236.918,149.006,13.74222,240993,102.2325
01-06-2014,237.837,237.231,148.921,11.83893,239410,102.5722
01-07-2014,238.195,237.498,149.216,14.05539,239693,102.8479
01-08-2014,238.405,237.46,149.472,14.34688,239161,102.6491
