"STATECODE","STATE","QUARTER","TAX_THOUSAND","INCREASING_YN"
"AL","Alabama",9,1180000,
"AL","Alabama",10,1236000,1
"AL","Alabama",11,1185000,0
"AL","Alabama",12,1191000,1
"AL","Alabama",13,1429000,1
"AL","Alabama",14,1161000,0
"AL","Alabama",15,1258000,1
"AL","Alabama",16,1206000,0
"AL","Alabama",17,1390000,1
"AL","Alabama",18,1362000,0
"AL","Alabama",19,1290000,0
"AL","Alabama",20,1297000,1
"AL","Alabama",21,1446000,1
"AL","Alabama",22,1334000,0
"AL","Alabama",23,1376000,1
"AL","Alabama",24,1358000,0
"AL","Alabama",25,1483000,1
"AL","Alabama",26,1467000,0
"AL","Alabama",27,1424000,0
"AL","Alabama",28,1452000,1
"AL","Alabama",29,1525000,1
"AL","Alabama",30,1466000,0
"AL","Alabama",31,1568000,1
"AL","Alabama",32,1521000,0
"AL","Alabama",33,1555000,1
"AL","Alabama",34,1572000,1
"AL","Alabama",35,1582000,1
"AL","Alabama",36,1509000,0
"AL","Alabama",37,1601000,1
"AL","Alabama",38,1637000,1
"AL","Alabama",39,1549000,0
"AL","Alabama",40,1509000,0
"AL","Alabama",41,1651000,1
"AL","Alabama",42,1622000,0
"AL","Alabama",43,1559000,0
"AL","Alabama",44,1576000,1
"AL","Alabama",45,1685000,1
"AL","Alabama",46,1608000,0
"AL","Alabama",47,1619000,1
"AL","Alabama",48,1725000,1
"AL","Alabama",49,1662000,0
"AL","Alabama",50,1865000,1
"AL","Alabama",51,1744000,0
"AL","Alabama",52,1873000,1
"AL","Alabama",53,1856000,0
"AL","Alabama",54,2101000,1
"AL","Alabama",55,1937000,0
"AL","Alabama",56,2021000,1
"AL","Alabama",57,2045000,1
"AL","Alabama",58,2338000,1
"AL","Alabama",59,2130000,0
"AL","Alabama",60,2176000,1
"AL","Alabama",61,2100000,0
"AL","Alabama",62,2434000,1
"AL","Alabama",63,2158000,0
"AL","Alabama",64,2236000,1
"AL","Alabama",65,2137000,0
"AL","Alabama",66,2461000,1
"AL","Alabama",67,2236000,0
"AL","Alabama",68,2086000,0
